cleaned_text,topic_id,topic_confidence,cluster_id,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,comment_id,token_count
jangan lupa edukasi gizi memberikan makanan bergizi harus dibarengi dengan literasi gizi di tingkat sekolah dan rumah tangga agar pola makan sehat tidak hanya terjadi saat jam makan gratis saja mari tetap kawal mega proyek ini,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,40,21
nadiem makarim langsung divonis tahun rpm denda rpm uang pengganti sementara lihat kasus dadan hindayana eks kepala bgn yang korupsi program makan bergizi gratis baru ditersangkakan mark up gedtapi prosesnya masih santaisantai aja kok beda treatmentnya ya,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,41,21
qodari evaluasi program mbg fokus pada tata kelola dan kualitas layanan jakarta – pemerintah terus melakukan evaluasi terhadap pelaksanaan program makan bergizi gratis mbg untuk memastikan program berjalan efektif efisien dan tepat sasaran kepala badan komunikasi,2,0.9107,41,0.0292,0.0289,0.9107,0.0312,42,15
dampak yang ditimbulkan menurut tulisan tersebut ​jika kepakaran diabaikan dan akomodasi politik lebih diutamakan tulisan tersebut menjabarkan beberapa dampak nyata ​pembangunan infrastruktur yang kurang efektif lahirnya proyekproyek infrastruktur fisik yang selesai,2,0.9106,41,0.0292,0.0289,0.9106,0.0312,43,15
eks menkeu fuad bawazier prediksi program mbg makin sempurna di tahun ketiga jakarta — mantan menteri keuangan ri fuad bawazier menilai penyelenggaraan program makan bergizi gratis mbg yang dimulai pada awal tahun akan semakin matang pada tahun ketiga menurutnya program,1,0.9102,46,0.0294,0.9102,0.0304,0.03,44,15
juta warga indonesia sakit akibat makanan bpom bentuk kader sapa badan pengawas obat dan makanan bpom meluncurkan gerakan kader sosialisasi sadar pangan aman sapa berbasis budaya sebagai upaya memperkuat kesadaran masyarakat terhadap keamanan pangan,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,45,21
mbg watch selamatkan apbn mbg harus disetop sampai aturan selesai eddy wijaya dan peneliti ti indonesia yang juga anggota koalisi mbg watch agus sarwono berbincang terkait program makan bergizi gratis mbg di podcast edshareon eddy sharing and discussion,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,46,21
sobat panen akhirakhir ini sadar gak kalau harga daging ayam dan telur lagi murahmurahnya menteri perdagangan budi santoso menjelaskan kalau penurunan harga di bawah het ini terjadi karena dua hal berhentinya penyerapan dari program makan bergizi gratis mbg selama,1,0.5911,51,0.2819,0.5911,0.0635,0.0635,47,13
wakil ketua dpr ri saan mustopa mendorong badan gizi nasional bgn memaksimalkan penyerapan hasil produk umkm untuk program makan bergizi gratis mbg saan menjelaskan penyerapan hasil umkm akan memberikan multiplier effect ekonomi hasilhasil dari…,2,0.8007,47,0.0675,0.0669,0.8007,0.0649,48,15
baca selengkapnya libur sekolah membawa perubahan pada pasokan bahan pokok di pasar padaherang kabupaten pangandaran pedagang menyebut harga telur dan ayam turun karena liburnya program makan bergizi gratis mbg sehingga warga lebih lega berbelanja,2,0.8006,47,0.0675,0.067,0.8006,0.0649,49,16
anggota komisi ii dpr ri romy soekarno mengusulkan skema baru program makan bergizi gratis mbg dengan menyalurkan dana sebesar rp per hari langsung ke rekening orang tua siswa melalui kartu atm khusus usulan ini bertujuan agar orang tua dapat mengelola dana tersebut,0,0.9619,51,0.9619,0.0127,0.0127,0.0127,50,31
vonis tahun penjara terhadap nadiem makarim dalam perkara korupsi pengadaan chromebook menjadi perhatian publik dan memicu perbincangan luas di media sosial di platform x sejumlah warganet mulai membandingkan putusan tersebut dengan proses hukum dugaan korupsi program makan,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,51,21
jakarta – menteri keuangan purbaya yudhi sadewa menyatakan dukungan pada rencana pemangkasan anggaran program makan bergizi gratis mbg yang tengah disiapkan oleh badan gizi nasional bgn baca selengkapnya,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,52,21
jakarta – ketua dewan ekonomi nasional den luhut binsar pandjaitan mengakui perencanaan makan bergizi gratis mbg belum disiapkan secara matang hingga menimbulkan persoalan dalam pelaksanaan program prioritas ini baca selengkapnya,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,53,21
membahas program makan bergizi gratis fathimah tak membantah niat baiknya ia justru mendiagnosis ulang lapar adalah gejala sedangkan akses pendidikan amp infrastruktur adalah akarnya cara pandang khas seorang dokter,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,54,21
dpr ri bersama badan gizi nasional berkomitmen matangkan skema program makan bergizi gratis fokus pada efektivitas distribusi amp pemenuhan standar gizi anak bangsa,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,55,21
perkuat mbg mendikdasmen dan bpom kolaborasi di program sosialisasi aman pangan sapa menteri pendidikan dasar dan menengah mendikdasmen abdul muti menegaskan komitmen pemerintah memperkuat keamanan pangan melalui kolaborasi dengan badan pengawas obat dan makanan bpom,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,56,21
kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak agar pelaksanaannya berjalan lancar transparan dan akuntabel setiap pihak yang menjalankan kegiatan usaha dalam ekosistem mbg—mulai dari yayasan penyelenggara,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,57,21
program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak,2,0.775,8,0.0187,0.1875,0.775,0.0189,58,21
program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak,3,0.9221,2,0.0254,0.0264,0.0262,0.9221,59,15
program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak,3,0.8215,52,0.1492,0.0157,0.0136,0.8215,60,44
program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak,0,0.74,28,0.74,0.0858,0.0882,0.086,61,15
lewat program makan bergizi gratis jambi memanfaatkan bahan pangan lokal untuk memenuhi kebutuhan gizi anak sekaligus membuka peluang lebih besar bagi petani peternak dan umkm daerah,3,0.5134,47,0.0306,0.4279,0.0281,0.5134,62,22
program makan bergizi gratis di jambi serap bahan pangan lokal untuk perkuat gizi anak amp ekonomi desa,1,0.9445,12,0.0185,0.9445,0.0183,0.0187,63,22
program makan bergizi gratis di jambi serap bahan pangan lokal untuk perkuat gizi anak amp ekonomi desa,2,0.9526,20,0.0157,0.0159,0.9526,0.0158,64,21
jika si ibu dikasih modal usaha maka jajan amp makan bergizi adalah tangung jawab keluarga bkn tangung jawab negara negara bertangung jawab kpd rakyat pendidikan sduniversitas gratis kesempatan kerja amp usaha kesehatan publik servis keamanan amp ketertiban no mbg,1,0.9592,5,0.0136,0.9592,0.0137,0.0135,65,27
harga sembako di pasar tradisional kabupaten lebak turun selama program makan bergizi gratis atau mbg libur sementara saat libur panjang sekolah ayam telur cabai dan sayuran kini lebih murah karena pasokan melimpah,1,0.9592,5,0.0136,0.9592,0.0137,0.0135,66,27
kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak,1,0.9196,18,0.0269,0.9196,0.026,0.0274,67,15
program makan bergizi gratis mbg nasional masih menghadapi tantangan serius mulai dari sasaran penerima yang kurang tepat manajemen rantai pasok yang kurang transparan hingga standar gizi dan keamanan pangan yang belum optimal pemerintah tengah berupaya restrukturisasi sist,3,0.7944,17,0.0144,0.0147,0.1766,0.7944,68,26
kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak agar pelaksanaannya berjalan lancar transparan dan akuntabel setiap pihak yang menjalankan kegiatan usaha dalam ekosistem mbg—mulai dari yayasan penyelenggara,2,0.7171,17,0.0145,0.015,0.7171,0.2533,69,27
demo para karyawan mbg di alun alun brebes hari minggu kemarin juni para karyawan tersebut menuntut agar program makan bergizi gratis tetap dilanjutkan,2,0.9216,6,0.0254,0.0272,0.9216,0.0258,70,17
makan bergizi minus gratis hari ini grilled chicken with mushroom sauce pan grilled carrots with beans organic rice kalian hari ini makan siang apa,3,0.9534,11,0.0155,0.0154,0.0158,0.9534,71,25
baca di sini libur sekolah membuat operasional dapur program makan bergizi gratis mbg ikut dihentikan sementara hingga juli akibatnya puluhan relawan satuan pelayanan pemenuhan gizi sppg di kota malang kehilangan pekerjaan harian dan harus,0,0.713,10,0.713,0.0175,0.251,0.0185,72,32
karena baru sekarang semenjak nkri berdiri presiden membuat program mbg makan bergizi gratis untuk rakyat senkri mbg program paling mulia,2,0.9573,0,0.014,0.0142,0.9573,0.0144,73,24
baca di sini sejumlah harga bahan kebutuhan pokok di kabupaten buleleng bali mengalami penurunan saat program makan bergizi gratis mbg libur farah ferbiliana ibu rumah tangga asal desa sambangan kecamatan sukasada buleleng menyebut harga daging,2,0.9574,0,0.014,0.0142,0.9574,0.0144,74,24
harga daging ayam potong dan telur ayam ras di pasar basah trenggalek mengalami penurunan dalam beberapa pekan terakhir pedagang menilai turunnya harga dipengaruhi liburnya pelaksanaan program makan bergizi gratis mbg,2,0.9574,0,0.014,0.0142,0.9574,0.0144,75,24
makan bergizi ga gratis karna dari dm gw,2,0.9574,0,0.014,0.0142,0.9574,0.0144,76,24
narasi pembenci bilang pidatonya nggak realistis atau populis faktanya program seperti mbg makan bergizi gratis dirancang nyata untuk menguntungkan para petani lokal kita sektor arus bawah langsung bergerak,2,0.9574,0,0.014,0.0142,0.9574,0.0144,77,24
ngerasain makan bergizi dan gratis karena boleh dikasih,2,0.9574,0,0.014,0.0142,0.9574,0.0144,78,24
wakil ketua dpr ri saan mustopa meminta badan gizi nasional bgn untuk memaksimalkan penyerapan hasil produksi para petani hingga produkproduk usaha mikro kecil dan menengah umkm untuk program makan bergizi gratis mbg,1,0.9392,16,0.0198,0.9392,0.0197,0.0213,79,20
makan bergizi gratis mbg dan koperasi desa merah putih kdmp hingga buruknya tata kelola regulasi yang tumpang tindih dan penuh dengan ketidakpastian hukum,2,0.938,40,0.0216,0.0199,0.938,0.0205,80,19
anak muda nabire ciptakan siapmbg sistem monitoring realtime canggih untuk makan bergizi gratis ini papua maju,3,0.9127,18,0.0287,0.0291,0.0295,0.9127,81,13
jadi ada sebuah diskusi menarik minggu ini pdip diserang habis oleh golkar demokrat dan pkb momen ini berlanjut ke podkas milik akbar faisal dalam diskusi tersebut politisi partai golkar asal dapil sumatera utara iii ahmad doli kurnia dan politisi partai,3,0.9348,18,0.0221,0.0217,0.0214,0.9348,82,19
makan bergizi gratis bukan sekadar bantuan tapi investasi jangka panjang untuk mencetak generasi sehat cerdas dan tangguh demi indonesia maju,3,0.4843,51,0.0377,0.44,0.0381,0.4843,83,26
makan bergizi gratis bukan sekadar bantuan tapi investasi jangka panjang untuk mencetak generasi sehat cerdas dan tangguh demi indonesia maju,2,0.9534,11,0.0149,0.0158,0.9534,0.0158,84,26
makan bergizi gratis bukan sekadar bantuan tapi investasi jangka panjang untuk mencetak generasi sehat cerdas dan tangguh demi indonesia maju,2,0.8103,31,0.1647,0.0124,0.8103,0.0127,85,27
ketika generasi muda ikut menciptakan solusi melalui teknologi manfaatnya bisa dirasakan lebih luas inovasi monitoring real time untuk program makan bergizi gratis menjadi contoh kolaborasi yang membanggakan demi mewujudkan papua maju,3,0.9426,21,0.0186,0.0201,0.0187,0.9426,86,26
bukti anak papua bisa monitoring makan bergizi gratis kini lebih transparan dan akurat papua maju ayo sebarkan,1,0.8441,30,0.0514,0.8441,0.0507,0.0538,87,10
dari papua untuk indonesia teknologi monitoring makan bergizi gratis ini bikin salut papua maju keren toh,3,0.8719,45,0.0426,0.0432,0.0423,0.8719,88,14
anak muda nabire membuktikan bahwa inovasi lahir dari daerah untuk indonesia sistem monitoring real time yang mereka kembangkan mendukung program makan bergizi gratis agar semakin efektif dan transparan semangat seperti inilah yang membawa papua maju,2,0.956,14,0.0143,0.0149,0.956,0.0148,89,23
kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak,1,0.844,30,0.0514,0.844,0.0507,0.0539,90,10
papua terus membuktikan kualitasnya anak muda nabire menghadirkan sistem monitoring realtime untuk mendukung program makan bergizi gratis inovasi dari timur untuk masa depan indonesia papua maju,1,0.8061,50,0.0634,0.8061,0.0676,0.063,91,7
papua terus membuktikan kualitasnya anak muda nabire menghadirkan sistem monitoring realtime untuk mendukung program makan bergizi gratis inovasi dari timur untuk masa depan indonesia papua maju,3,0.6244,31,0.0199,0.0203,0.3353,0.6244,92,21
transparan gini cara papua kawal program makan bergizi gratis,1,0.8675,39,0.0425,0.8675,0.0445,0.0454,93,9
makan bergizi gratis,1,0.8403,51,0.0507,0.8403,0.0535,0.0555,94,8
sementara itu rubrik opini mengulas pentingnya penerapan sni dalam mendukung program makan bergizi gratis guna menjamin keamanan mutu dan konsistensi penyelenggaraannya,3,0.9507,2,0.0161,0.0166,0.0167,0.9507,95,22
ekonomi rakyat kembali dikejutkan dengan dugaan korupsi dalam program makan bergizi gratis mbg sebagai hidangan penutup dpr mengesahkan ruu polri dengan pembahasan yang begitu cepat sehingga memunculkan banyak pertanyaan dari publik juni memang telah usai namun yang,1,0.9017,29,0.0321,0.9017,0.0328,0.0334,96,14
badan perencanaan pembangunan riset dan inovasi daerah bapperida kabupaten kudus pada senin juni memfasilitasi pelaksanaan rapat evaluasi program makan bergizi gratis mbg di kabupaten kudus kegiatan ini berlangsung mulai pukul wib di pendopo kabupaten kudus,1,0.9018,29,0.0321,0.9018,0.0328,0.0333,97,14
keren banget nih aplikasi buatan anak asli nabire ini jadi bukti nyata papua maju dalam mengawal program makan bergizi gratis secara realtime,1,0.9348,23,0.0212,0.9348,0.0222,0.0218,98,15
pastikan aman pastikan berkualitas komitmen polres ppu dalam mendukung program makan bergizi gratis mbg diwujudkan melalui pengawasan food safety secara berkala di sppg kemala bhayangkari,1,0.9018,29,0.0321,0.9018,0.0328,0.0333,99,14
program makan bergizi gratis mbg terus berjalan merata hingga ke seluruh wilayah memastikan setiap anak mendapatkan asupan gizi yang cukup tanpa terkecuali,2,0.52,29,0.0366,0.4055,0.52,0.038,100,12
program makan bergizi gratis mbg terus berjalan merata hingga ke seluruh wilayah memastikan setiap anak mendapatkan asupan gizi yang cukup tanpa terkecuali,1,0.6228,50,0.1251,0.6228,0.1251,0.1271,101,9
kabar ini beredar setelah menteri keuangan purbaya sadewa menjelaskan hasil pertemuannya dengan badan gizi nasional terkait evaluasi program makan bergizi gratis menurut purbaya besaran anggaran yang akan dipangkas cukup besar ini bukan kali pertama pemangkasan anggaran mbg,3,0.8083,45,0.0131,0.013,0.1656,0.8083,102,25
berapa duit per kepala ini ribuan “relawan” sppg demo dukung mbg lanjutin mereka beneran relawan sukarela atau ada insentif tertentu program makan bergizi gratis emang bagus buat anakanak tapi pengawasan amp transparansi anggarannya gimana,2,0.951,11,0.0159,0.0164,0.951,0.0167,103,25
program makan bergizi gratis mbg dipantau melalui aplikasi lokal untuk memastikan pelaksanaannya transparan akuntabel dan tepat sasaran,1,0.8068,49,0.064,0.8068,0.063,0.0662,104,8
program makan bergizi gratis mbg dipantau melalui aplikasi lokal untuk memastikan pelaksanaannya transparan akuntabel dan tepat sasaran,2,0.6197,51,0.1251,0.1302,0.6197,0.1251,105,4
program makan bergizi gratis di jambi serap bahan pangan lokal untuk perkuat gizi anak amp ekonomi desa,0,0.8439,50,0.8439,0.0525,0.0518,0.0518,106,13
siapa bilang papua cuma bisa jadi penonton program pusat anak muda nabire membuktikan lewat aplikasi siap mbg bahwa mereka mampu menciptakan sistem tercanggih demi menyukseskan program makan bergizi gratis dari pemerintah ini bukti nyata papua maju,0,0.9025,43,0.9025,0.033,0.0321,0.0324,107,13
keren banget nih aplikasi buatan anak asli nabire ini jadi bukti nyata papua maju dalam mengawal program makan bergizi gratis secara realtime,0,0.6511,33,0.6511,0.0338,0.2804,0.0347,108,13
apakah ini hasil dari makan bergizi gratis kah,3,0.8866,51,0.037,0.0388,0.0377,0.8866,109,13
papua maju dalam mengawal program makan bergizi gratis secara realtime,2,0.9397,11,0.0198,0.0201,0.9397,0.0204,110,22
keren banget nih aplikasi buatan anak asli nabire ini jadi bukti nyata papua maju dalam mengawal program makan bergizi gratis secara realtime,3,0.8035,48,0.0684,0.0644,0.0636,0.8035,111,12
belum lagi sejumlah program yang jadi penopang untuk mendorong penguatan kesejahteraan petani di indonesia seperti program mbg makan bergizi gratis dan koperasi desakelurahan merah putih,1,0.8644,39,0.0423,0.8644,0.0469,0.0464,112,14
gizi anak terpenuhi dan ekonomi desa tumbuh adalah visi besar yang diusung oleh zulkifli hasan melalui optimalisasi program makan bergizi gratis,1,0.9522,5,0.0157,0.9522,0.0163,0.0159,113,24
sikooontl bisanya mikir kesana bilang biar pemerintah ga bekerja sndiri dengan anggaran yg ada lah duit lu sndiri aja sana pake yg dipake slama ini udah uang rakyat blok msh mau malakin lg bgst lu bilangnya makan bergizi gratis nyet,2,0.71,19,0.2587,0.0154,0.71,0.0159,114,27
pdip resmi melarang seluruh kadernya mencari keuntungan dari program makan bergizi gratis mbg baca selengkapnya,3,0.9308,19,0.0238,0.0235,0.0219,0.9308,115,33
sinergi kuat kpk dan kejagung dalam mengusut tuntas dugaan korupsi program makan bergizi gratis demi melindungi hak nutrisi anakanak indonesia,1,0.9476,16,0.0171,0.9476,0.0172,0.0181,116,25
kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak agar pelaksanaannya berjalan lancar transparan dan akuntabel setiap pihak yang menjalankan kegiatan usaha dalam ekosistem mbg—mulai dari yayasan penyelenggara,3,0.7403,51,0.0877,0.0876,0.0843,0.7403,117,11
ribuan orang yang mengatasnamakan relawan pekerja satuan pelayanan pemenuhan gizi sppg menggelar aksi unjuk rasa di pusat pemerintahan kabupaten tangerang senin aksi ini juga didominasi emakemak yang melangsungkan unjuk rasa di depan kantor bupati tangerang,1,0.6029,14,0.3673,0.6029,0.0153,0.0145,118,24
program makan bergizi gratis tidak hanya membantu memenuhi kebutuhan gizi anak tetapi juga menggerakkan ekonomi rakyat dengan melibatkan petani peternak nelayan dan umkm lokal dalam rantai pasok program ini menciptakan manfaat yang dirasakan dari hulu hingga hilir,2,0.4925,46,0.045,0.0446,0.4925,0.4179,119,11
program makan bergizi gratis tidak hanya membantu memenuhi kebutuhan gizi anak tetapi juga menggerakkan ekonomi rakyat dengan melibatkan petani peternak nelayan dan umkm lokal dalam rantai pasok program ini menciptakan manfaat yang dirasakan dari hulu hingga hilir,1,0.9282,16,0.0231,0.9282,0.0237,0.025,120,18
kasus korupsi makan bergizi gratis naik level dari tersangka ada satu bernyanyi kode yang disebut kode itu bukan angka iseng dugaan kuat merujuk pada pihak yang ikut nikmati aliran duit mbg artinya jaringan korupsi mbg ini lebih luas bukan hanya orang,3,0.9335,16,0.0223,0.023,0.0212,0.9335,121,23
program makan bergizi gratis tidak hanya membantu memenuhi kebutuhan gizi anak tetapi juga menggerakkan ekonomi rakyat dengan melibatkan petani peternak nelayan dan umkm lokal dalam rantai pasok program ini menciptakan manfaat yang dirasakan dari hulu hingga hilir,1,0.6621,5,0.0166,0.6621,0.0167,0.3046,122,25
