cluster_id,n_comments,ftc_termset,entropy_overlap,dominant_topic,dominant_topic_terms,cluster_top_terms,example_comment
40,8,"gratis, terima",1.326136,3,"anak, dukung, prabowo, aksi, presiden","gizi, terima, makan, gratis, program, pajak, mbg, tbc, kelompok, kawan",makan bergizi gratis mbg dan koperasi desa merah putih kdmp hingga buruknya tata kelola regulasi yang tumpang tindih dan penuh dengan ketidakpastian hukum
41,8,"gizi, hadir",1.337397,1,"dukung, anak, desa, penuh, ekonomi","gizi, gratis, makan, hadir, mbg, keluarga, anak, program, bancak, wujud",qodari evaluasi program mbg fokus pada tata kelola dan kualitas layanan jakarta – pemerintah terus melakukan evaluasi terhadap pelaksanaan program makan bergizi gratis mbg untuk memastikan program berjalan efektif efisien dan tepat sasaran kepala badan komunikasi
42,8,kait,1.691493,0,"korupsi, kelola, perintah, duga, tata","kait, gizi, motor, makan, program, gratis, jaksa, listrik, agung, badan",generasi sehat adalah fondasi indonesia yang maju program makan bergizi gratis layak mendapat dukungan karena membantu memastikan anakanak memperoleh asupan yang berkualitas sekaligus menjadi upaya bersama dalam menciptakan masa depan yang lebih baik bagi bangsa
43,8,indonesia,1.600033,3,"anak, dukung, prabowo, aksi, presiden","indonesia, gizi, makan, gratis, program, perintah, prabowo, pangan, proyek, swasembada",siapa bilang papua cuma bisa jadi penonton program pusat anak muda nabire membuktikan lewat aplikasi siap mbg bahwa mereka mampu menciptakan sistem tercanggih demi menyukseskan program makan bergizi gratis dari pemerintah ini bukti nyata papua maju
44,8,"dapur, gratis",1.524474,1,"dukung, anak, desa, penuh, ekonomi","makan, dapur, gratis, gizi, salur, henti, kejaksan, kubur, program, gak",mulai dari jaga stabilitas harga bahan pokok sampai sukseskan makan bergizi gratis polri terbukti andal dalam menyukseskan program strategis pemerintah
45,9,prabowo,1.616516,1,"dukung, anak, desa, penuh, ekonomi","prabowo, gizi, makan, gratis, lapar, presiden, mbg, tolak, gaji, bayar",makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas
46,10,"perintah, program",1.868034,2,"rakyat, anak, bukti, pihak, kuat","program, perintah, makan, gizi, gratis, mbg, langkah, dpr, lapor, pusat",eks menkeu fuad bawazier prediksi program mbg makin sempurna di tahun ketiga jakarta — mantan menteri keuangan ri fuad bawazier menilai penyelenggaraan program makan bergizi gratis mbg yang dimulai pada awal tahun akan semakin matang pada tahun ketiga menurutnya program
47,10,"mbg, program",1.743867,1,"dukung, anak, desa, penuh, ekonomi","mbg, makan, gizi, gratis, program, sumatera, barat, rawan, daerah, unjuk",belakangan muncul anggapan bahwa efisiensi anggaran membuat porsi program makan bergizi gratis mbg berkurang faktanya efisiensi bukan berarti mengurangi manfaat yang diterima masyarakat
48,9,sekolah,2.185715,1,"dukung, anak, desa, penuh, ekonomi","sekolah, yg, gizi, makan, gratis, anak, ajar, penuh, siswa, wok",mbg makan bergizi gratis alhamdulillah enak terimakasih banyak
49,15,"dukung, program",2.70805,3,"anak, dukung, prabowo, aksi, presiden","dukung, program, makan, gizi, gratis, manfaatmakanbergizigratis, makanbergizigratis, papua, barat, daya",program makan bergizi gratis mbg dipantau melalui aplikasi lokal untuk memastikan pelaksanaannya transparan akuntabel dan tepat sasaran
50,14,"gratis, program",3.223619,1,"dukung, anak, desa, penuh, ekonomi","gizi, program, makan, gratis, rakyat, kepala, divhumas polri, aspirasi, warga, mohon",papua terus membuktikan kualitasnya anak muda nabire menghadirkan sistem monitoring realtime untuk mendukung program makan bergizi gratis inovasi dari timur untuk masa depan indonesia papua maju
51,49,gizi,14.035449,3,"anak, dukung, prabowo, aksi, presiden","gizi, makan, gratis, mbg, ga, gak, kasih, kuat, dukung, tbc",kehadiran polri di desadesa dan perbatasan terbukti membawa dampak besar bagi program makan bergizi gratis demi masa depan generasi bangsa
52,7,RESIDUAL_UNASSIGNED,0.0,3,"anak, dukung, prabowo, aksi, presiden","bem, mahasiswa, pc, amp, blitar, aksi, harga, ketua, fakultas, hukum",program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak
